B,num_digits,density,trial,x,y,x_support_size,y_support_size,raw_support_size,final_support_size,size_Sx,size_Sy,size_sumset,max_representation_count,additive_energy,support_density_x,support_density_y,diameter_x,diameter_y,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
2,8,1.0,0,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,1,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,2,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,3,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,4,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,5,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,6,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,7,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,8,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,9,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,10,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,11,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,12,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,13,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
2,8,1.0,14,255,255,8,8,15,8,8,8,15,8,344,1.0,1.0,7,7,64,8,3.7023191426459237,0.125,56,14,15,3.6100053707958026,0.875,14,129540,1.992156862745098
